locus_tag	ftype	length_bp	gene	EC_number	COG	product
USDA1021_00001	CDS	1284	mdeA	4.4.1.11		L-methionine gamma-lyase
USDA1021_00002	CDS	1680				hypothetical protein
USDA1021_00003	CDS	846	hdfR_1			HTH-type transcriptional regulator HdfR
USDA1021_00004	CDS	2448	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
USDA1021_00005	CDS	2448	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
USDA1021_00006	CDS	1545	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
USDA1021_00007	CDS	522				hypothetical protein
USDA1021_00008	CDS	1134				hypothetical protein
USDA1021_00009	CDS	732				hypothetical protein
USDA1021_00010	CDS	2175	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
USDA1021_00011	CDS	1428	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
USDA1021_00012	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
USDA1021_00013	CDS	951	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
USDA1021_00014	CDS	999	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
USDA1021_00015	CDS	1161	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
USDA1021_00016	CDS	909	oxyR_1			Hydrogen peroxide-inducible genes activator
USDA1021_00017	CDS	924	aes	3.1.1.-		Acetyl esterase
USDA1021_00018	CDS	405				hypothetical protein
USDA1021_00019	CDS	1998				hypothetical protein
USDA1021_00020	CDS	1590	sgrR_1			HTH-type transcriptional regulator SgrR
USDA1021_00021	CDS	795				hypothetical protein
USDA1021_00022	CDS	1632	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
USDA1021_00023	CDS	828	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
USDA1021_00024	CDS	1110	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
USDA1021_00025	CDS	1590	dppA_1		COG0747	Periplasmic dipeptide transport protein
USDA1021_00026	CDS	783	caiD_1	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
