Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,USDA1021,WSM1022
group_4259,,hypothetical protein,2,2,1.0,5,1,,,,363,363,363.0,0_refound_9,WSM1022_02236
group_4257,,putative ABC transporter-binding protein,2,2,1.0,4,187,,,,1272,1272,1272.0,USDA1021_06962,WSM1022_05025
asnB_2~~~asnB_1,asnB_2;asnB_1,Asparagine synthetase [glutamine-hydrolyzing] 1,2,2,1.0,4,186,,,,1776,1776,1776.0,USDA1021_06819,WSM1022_04878
group_4256,,hypothetical protein,2,2,1.0,4,185,,,,729,729,729.0,USDA1021_06902,WSM1022_04962
narT,narT,putative nitrate transporter NarT,2,2,1.0,4,184,,,,1275,1275,1275.0,USDA1021_06853,WSM1022_04920
group_4255,,hypothetical protein,2,2,1.0,4,183,,,,1233,1233,1233.0,USDA1021_06897,WSM1022_04957
group_4254,,hypothetical protein,2,2,1.0,4,182,,,,645,645,645.0,USDA1021_06937,WSM1022_04997
apsD_3,apsD_3,D-apiose dehydrogenase,2,2,1.0,4,181,,,,1035,1035,1035.0,USDA1021_06934,WSM1022_04994
paoB_4~~~paoB_3,paoB_4;paoB_3,Aldehyde oxidoreductase FAD-binding subunit PaoB,2,2,1.0,4,180,,,,984,984,984.0,USDA1021_06891,WSM1022_04951
bepF_5,bepF_5,Efflux pump periplasmic linker BepF,2,2,1.0,4,179,,,,1155,1155,1155.0,USDA1021_06941,WSM1022_05001
fabG_17,fabG_17,3-oxoacyl-[acyl-carrier-protein] reductase FabG,2,2,1.0,4,178,,,,735,735,735.0,USDA1021_06806,WSM1022_04865
group_4253,,hypothetical protein,2,2,1.0,4,177,,,,1158,1158,1158.0,USDA1021_06827,WSM1022_04894
group_4252,,hypothetical protein,2,2,1.0,4,176,,,,738,738,738.0,USDA1021_06809,WSM1022_04868
group_4251,,hypothetical protein,2,2,1.0,4,175,,,,564,564,564.0,USDA1021_06842,WSM1022_04909
group_4249,,hypothetical protein,2,2,1.0,4,173,,,,174,174,174.0,USDA1021_06886,WSM1022_04946
group_4248,,Formylglycine-generating enzyme,2,2,1.0,4,172,,,,957,981,969.0,USDA1021_06955,WSM1022_05014
apnL,apnL,D-apionate lactonase,2,2,1.0,4,171,,,,1920,1920,1920.0,USDA1021_06933,WSM1022_04993
ugpB_2,ugpB_2,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,2,2,1.0,4,169,,,,1293,1293,1293.0,USDA1021_06872,WSM1022_04939
paoA_4~~~paoA_3,paoA_4;paoA_3,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,2,2,1.0,4,167,,,,567,567,567.0,USDA1021_06890,WSM1022_04950
group_4245,,hypothetical protein,2,2,1.0,4,166,,,,474,474,474.0,USDA1021_06874,WSM1022_04941
idnD_2,idnD_2,L-idonate 5-dehydrogenase (NAD(P)(+)),2,2,1.0,4,165,,,,1044,1044,1044.0,USDA1021_06848,WSM1022_04915
group_4244,,hypothetical protein,2,2,1.0,4,164,,,,1296,1296,1296.0,USDA1021_06928,WSM1022_04988
group_4243,,hypothetical protein,2,2,1.0,4,163,,,,972,972,972.0,USDA1021_06903,WSM1022_04963
pgrR_19,pgrR_19,HTH-type transcriptional regulator PgrR,2,2,1.0,4,162,,,,897,897,897.0,USDA1021_06805,WSM1022_04864
siaP_4,siaP_4,Sialic acid-binding periplasmic protein SiaP,2,2,1.0,4,160,,,,975,975,975.0,USDA1021_06851,WSM1022_04918
group_4241,,hypothetical protein,2,2,1.0,4,157,,,,180,180,180.0,USDA1021_06948,WSM1022_05008
group_4240,,hypothetical protein,2,2,1.0,4,156,,,,573,573,573.0,USDA1021_06850,WSM1022_04917
