locus_tag	ftype	length_bp	gene	EC_number	COG	product
WSM1022_00001	CDS	1629	entS_1			Enterobactin exporter EntS
WSM1022_00002	CDS	618	rimP			Ribosome maturation factor RimP
WSM1022_00003	CDS	1629	nusA		COG0195	Transcription termination/antitermination protein NusA
WSM1022_00004	CDS	693				hypothetical protein
WSM1022_00005	CDS	2670	infB		COG0532	Translation initiation factor IF-2
WSM1022_00006	CDS	408	rbfA			Ribosome-binding factor A
WSM1022_00007	CDS	936	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
WSM1022_00008	CDS	1719				hypothetical protein
WSM1022_00009	CDS	270	rpsO		COG0184	30S ribosomal protein S15
WSM1022_00010	CDS	2154	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
WSM1022_00011	CDS	1017	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
WSM1022_00012	CDS	807	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
WSM1022_00013	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
WSM1022_00014	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
WSM1022_00015	CDS	423	perR_1		COG0735	Peroxide operon regulator
WSM1022_00016	CDS	636				hypothetical protein
WSM1022_00017	CDS	789				hypothetical protein
WSM1022_00018	tRNA	76				tRNA-Ala(ggc)
WSM1022_00019	CDS	390				hypothetical protein
WSM1022_00020	CDS	1368	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
WSM1022_00021	CDS	639	cmk	2.7.4.25	COG0283	Cytidylate kinase
WSM1022_00022	CDS	1707	rpsA		COG0539	30S ribosomal protein S1
WSM1022_00023	CDS	1581				hypothetical protein
WSM1022_00024	CDS	333				hypothetical protein
WSM1022_00025	CDS	528				hypothetical protein
WSM1022_00026	tRNA	87				tRNA-Leu(cag)
WSM1022_00027	CDS	1956				hypothetical protein
WSM1022_00028	CDS	1047	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
WSM1022_00029	CDS	330				hypothetical protein
WSM1022_00030	CDS	627	rnd_1	3.1.13.5		Ribonuclease D
WSM1022_00031	CDS	282				hypothetical protein
WSM1022_00032	CDS	453				hypothetical protein
WSM1022_00033	CDS	408	rnk_1			Regulator of nucleoside diphosphate kinase
WSM1022_00034	CDS	234				hypothetical protein
WSM1022_00035	CDS	1827	lepA	3.6.5.-		Elongation factor 4
WSM1022_00036	CDS	1266	ycaD_1			putative MFS-type transporter YcaD
WSM1022_00037	CDS	579	sutR		COG1396	HTH-type transcriptional regulator SutR
WSM1022_00038	CDS	528	ttr	2.3.1.-		Acetyltransferase
WSM1022_00039	CDS	639				hypothetical protein
WSM1022_00040	CDS	684	yiaD		COG2885	putative lipoprotein YiaD
WSM1022_00041	CDS	1053	kamA	5.4.3.2		L-lysine 2,3-aminomutase
WSM1022_00042	CDS	1053	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
WSM1022_00043	CDS	570	efp		COG0231	Elongation factor P
WSM1022_00044	CDS	1242	cfa_1	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
WSM1022_00045	CDS	984				hypothetical protein
WSM1022_00046	CDS	519				hypothetical protein
WSM1022_00047	CDS	843				hypothetical protein
WSM1022_00048	CDS	399	infC		COG0290	Translation initiation factor IF-3
WSM1022_00049	CDS	204	rpmI		COG0291	50S ribosomal protein L35
