Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr5R0221240,7SL RNA-1,#N/A,7SL RNA,,MtrunA17Chr5R0221240,Medtr5g089380,Mt0010_00613,Mtr.13774.1.S1_at,Medtr_v1_035765
MtrunA17_Chr5g1024447,7SL RNA-2,#N/A,7SL RNA,,MtrunA17Chr5g1024447,Medtr5g089310,Mt0010_10551,Mtr.27673.1.S1_at,Medtr_v1_064632
MtrunA17_Chr1g0204881,7SL RNA-3,#N/A,7SL RNA,,MtrunA17Chr1g0204881,#N/A,Mt0046_00223,Mtr.11691.1.S1_at,Medtr_v1_090680
MtrunA17_Chr1g0196501,ABP1 ,#N/A,auxin binding protein1,,MtrunA17Chr1g0196501,Medtr1g089810,Mt0039_10112,Mtr.6144.1.S1_at,#N/A
MtrunA17_Chr8g0387211,AFB-like1,#N/A,auxin signaling F-box like,,MtrunA17Chr8g0387211,Medtr8g098695,Mt0009_10632,Mtr.37555.1.S1_at,Medtr_v1_068453
MtrunA17_Chr4g0048391,AFB-like2,#N/A,auxin signaling F-box like,,MtrunA17Chr4g0048391,Medtr4g091290,Mt0041_00206,Mtr.1834.1.S1_at,Medtr_v1_025976
MtrunA17_Chr4g0015031,APY-10,#N/A,Apyrase (nucleoside phosphatase),,MtrunA17Chr4g0015031,Medtr4g036220,Mt0014_10191,Mtr.40757.1.S1_at,#N/A
MtrunA17_Chr5g0417201,APY-7,#N/A,Apyrase (nucleoside phosphatase),,MtrunA17Chr5g0417201,Medtr5g040710,Mt0012_00350,Mtr.33493.1.S1_at,Medtr_v1_032386
MtrunA17_Chr7g0252921,APY-8,#N/A,Apyrase (nucleoside phosphatase),,MtrunA17Chr7g0252921,Medtr7g085200,Mt0011_10461,Mtr.19547.1.S1_s_at,#N/A
MtrunA17_Chr7g0252881,APY-9,#N/A,Apyrase (nucleoside phosphatase),,MtrunA17Chr7g0252881,Medtr7g085120,Mt0011_10464,Mtr.14667.1.S1_at,Medtr_v1_045186
MtrunA17_Chr3g0116881,ASA-1,#N/A,anthranilate synthase  (auxin biosynthesis),,MtrunA17Chr3g0116881,Medtr3g076770,Mt0006_00590,#N/A,#N/A
MtrunA17_Chr3g0113261,ASA-2,#N/A,anthranilate synthase  (auxin biosynthesis),,MtrunA17Chr3g0113261,Medtr3g070290,Mt0006_10883,Mtr.34960.1.S1_at,Medtr_v1_017654
MtrunA17_Chr1g0211991,ASA-3,#N/A,anthranilate synthase  (auxin biosynthesis),,MtrunA17Chr1g0211991,Medtr1g114520,Mt0029_10260,Mtr.39408.1.S1_at,#N/A
MtrunA17_Chr1g0201621,ASHH1-1,#N/A,ASHH1-like Histone-lysine N-methyltransferase,,MtrunA17Chr1g0201621,Medtr1g098370,Mt0027_00065,#N/A,Medtr_v1_007358
