Gene,Non-unique Gene name,Annotation,USDA1021,WSM1022
group_4259,,hypothetical protein,0_refound_9,WSM1022_02236
group_4257,,putative ABC transporter-binding protein,USDA1021_06962,WSM1022_05025
asnB_2~~~asnB_1,asnB_2;asnB_1,Asparagine synthetase [glutamine-hydrolyzing] 1,USDA1021_06819,WSM1022_04878
group_4256,,hypothetical protein,USDA1021_06902,WSM1022_04962
narT,narT,putative nitrate transporter NarT,USDA1021_06853,WSM1022_04920
group_4255,,hypothetical protein,USDA1021_06897,WSM1022_04957
group_4254,,hypothetical protein,USDA1021_06937,WSM1022_04997
apsD_3,apsD_3,D-apiose dehydrogenase,USDA1021_06934,WSM1022_04994
paoB_4~~~paoB_3,paoB_4;paoB_3,Aldehyde oxidoreductase FAD-binding subunit PaoB,USDA1021_06891,WSM1022_04951
bepF_5,bepF_5,Efflux pump periplasmic linker BepF,USDA1021_06941,WSM1022_05001
fabG_17,fabG_17,3-oxoacyl-[acyl-carrier-protein] reductase FabG,USDA1021_06806,WSM1022_04865
group_4253,,hypothetical protein,USDA1021_06827,WSM1022_04894
group_4252,,hypothetical protein,USDA1021_06809,WSM1022_04868
group_4251,,hypothetical protein,USDA1021_06842,WSM1022_04909
group_4249,,hypothetical protein,USDA1021_06886,WSM1022_04946
group_4248,,Formylglycine-generating enzyme,USDA1021_06955,WSM1022_05014
apnL,apnL,D-apionate lactonase,USDA1021_06933,WSM1022_04993
ugpB_2,ugpB_2,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,USDA1021_06872,WSM1022_04939
paoA_4~~~paoA_3,paoA_4;paoA_3,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,USDA1021_06890,WSM1022_04950
group_4245,,hypothetical protein,USDA1021_06874,WSM1022_04941
idnD_2,idnD_2,L-idonate 5-dehydrogenase (NAD(P)(+)),USDA1021_06848,WSM1022_04915
group_4244,,hypothetical protein,USDA1021_06928,WSM1022_04988
group_4243,,hypothetical protein,USDA1021_06903,WSM1022_04963
pgrR_19,pgrR_19,HTH-type transcriptional regulator PgrR,USDA1021_06805,WSM1022_04864
siaP_4,siaP_4,Sialic acid-binding periplasmic protein SiaP,USDA1021_06851,WSM1022_04918
group_4241,,hypothetical protein,USDA1021_06948,WSM1022_05008
group_4240,,hypothetical protein,USDA1021_06850,WSM1022_04917
yecS_10,yecS_10,L-cystine transport system permease protein YecS,USDA1021_06860,WSM1022_04927
ugpC_13,ugpC_13,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_06907,WSM1022_04967
ugpC_12,ugpC_12,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_06869,WSM1022_04936
rbsA_15,rbsA_15,Ribose import ATP-binding protein RbsA,USDA1021_06815,WSM1022_04874
lyx,lyx,L-xylulose/3-keto-L-gulonate kinase,USDA1021_06801,WSM1022_04860
group_4239,,hypothetical protein,USDA1021_06896,WSM1022_04956
group_4238,,Antitoxin VapB39,USDA1021_06875,WSM1022_04942
hcaB_5,hcaB_5,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,USDA1021_06807,WSM1022_04866
group_4237,,hypothetical protein,USDA1021_06888,WSM1022_04948
tcyB_2,tcyB_2,L-cystine transport system permease protein TcyB,USDA1021_06859,WSM1022_04926
bdcA,bdcA,Cyclic-di-GMP-binding biofilm dispersal mediator protein,USDA1021_06837,WSM1022_04904
COQ5_8,COQ5_8,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,USDA1021_06844,WSM1022_04911
group_4236,,hypothetical protein,USDA1021_06946,WSM1022_05006
rbsA_14,rbsA_14,Ribose import ATP-binding protein RbsA,USDA1021_06795,WSM1022_04854
apnO,apnO,D-apionate oxidoisomerase,USDA1021_06939,WSM1022_04999
doeA_4,doeA_4,Ectoine hydrolase,USDA1021_06855,WSM1022_04922
group_4235,,hypothetical protein,USDA1021_06841,WSM1022_04908
rbsA_16,rbsA_16,Ribose import ATP-binding protein RbsA,USDA1021_06936,WSM1022_04996
group_4234,,hypothetical protein,USDA1021_06965,WSM1022_05028
group_4233,,hypothetical protein,USDA1021_06836,WSM1022_04903
group_4232,,hypothetical protein,USDA1021_06832,WSM1022_04899
siaM_4~~~siaM_2,siaM_4;siaM_2,Sialic acid TRAP transporter large permease protein SiaM,USDA1021_06915,WSM1022_04975
oiaK,oiaK,3-oxo-isoapionate kinase,USDA1021_06893,WSM1022_04953
potA_8,potA_8,Spermidine/putrescine import ATP-binding protein PotA,USDA1021_06924,WSM1022_04984
group_4230,,hypothetical protein,USDA1021_06826,WSM1022_04885
sugB_4,sugB_4,Trehalose transport system permease protein SugB,USDA1021_06960,WSM1022_05023
group_4229,,hypothetical protein,USDA1021_06898,WSM1022_04958
ydcV_6,ydcV_6,Inner membrane ABC transporter permease protein YdcV,USDA1021_06906,WSM1022_04966
rbsC_25,rbsC_25,Ribose import permease protein RbsC,USDA1021_06935,WSM1022_04995
group_4228,,hypothetical protein,USDA1021_06889,WSM1022_04949
tdcB_2~~~tdcB,tdcB_2;tdcB,L-threonine dehydratase catabolic TdcB,USDA1021_06857,WSM1022_04924
rcsC_12,rcsC_12,Sensor histidine kinase RcsC,USDA1021_06929,WSM1022_04989
sugA_5,sugA_5,Trehalose transport system permease protein SugA,USDA1021_06961,WSM1022_05024
group_4227,,hypothetical protein,USDA1021_06932,WSM1022_04992
galE_4,galE_4,UDP-glucose 4-epimerase,USDA1021_06834,WSM1022_04901
hbpA_5,hbpA_5,Heme-binding protein A,USDA1021_06824,WSM1022_04883
