MtrunA17r5.0-ANR gene ID	Noble reannotated genome transcript ID
MtrunA17_Chr8g0335881	Medtr8g007325.1
MtrunA17_Chr8g0348181	Medtr8g028485.1
MtrunA17_Chr8g0355931	MT4Noble_050809.1
MtrunA17_Chr7g0243851	Medtr7g070910.1
MtrunA17_Chr2g0309711	Medtr2g063620.1
MtrunA17_Chr5g0397841	Medtr5g010650.1
MtrunA17_Chr4g0012761	Medtr4g028720.1
MtrunA17_Chr8g0392251	Medtr8g106080.1
MtrunA17_Chr5g0429731	MT35v5_Medtr5g070110.1
MtrunA17_Chr6g0472021	Medtr2g105500.1
MtrunA17_Chr6g0483981	Medtr6g083210.1
MtrunA17_Chr3g0087931	Medtr3g028270.1
MtrunA17_Chr8g0360041	Medtr8g058990.1
MtrunA17_Chr2g0301101	Medtr2g042750.1
MtrunA17_Chr3g0122721	Medtr3g085610.1
MtrunA17_Chr2g0315831	MT4Noble_010470.1
MtrunA17_Chr3g0137261	Medtr3g106420.1
MtrunA17_Chr8g0384831	Medtr8g094705.1
MtrunA17_Chr3g0091211	Medtr3g036330.1
MtrunA17_Chr1g0203321	Medtr1g100607.1
MtrunA17_Chr1g0180531	Medtr1g063100.2
MtrunA17_Chr5g0405981	Medtr5g022860.1
MtrunA17_Chr2g0279641	Medtr2g009650.1
MtrunA17_Chr1g0177991	Medtr1g058120.1
MtrunA17_Chr1g0186221	Medtr1g073480.1
MtrunA17_Chr3g0105611	Medtr3g464870.1
MtrunA17_Chr8g0343471	Medtr8g019560.1
MtrunA17_Chr6g0456781	Medtr6g016945.1
MtrunA17_Chr2g0280481	Medtr2g010820.1
MtrunA17_Chr7g0220701	Medtr7g018100.1
MtrunA17_Chr1g0202191	Medtr1g099250.1
MtrunA17_Chr3g0113881	MT4Noble_018264.1
MtrunA17_Chr3g0121971	Medtr3g084510.1
MtrunA17_Chr2g0333871	Medtr2g105090.2
MtrunA17_Chr8g0335121	Medtr8g005155.1
MtrunA17_Chr2g0310021	Medtr2g067610.1
MtrunA17_Chr3g0128001	Medtr3g092890.1
MtrunA17_Chr3g0138801	Medtr3g108670.1
MtrunA17_Chr3g0077581	Medtr3g005660.1
MtrunA17_Chr2g0290061	Medtr0667s0010.1
MtrunA17_Chr4g0035551	Medtr4g071060.1
MtrunA17_Chr5g0399261	Medtr5g012630.1
MtrunA17_Chr8g0378561	Medtr8g085640.1
MtrunA17_Chr3g0119841	Medtr3g080840.1
MtrunA17_Chr5g0431981	Medtr5g073920.1
MtrunA17_Chr2g0332871	Medtr2g103510.1
MtrunA17_Chr6g0448991	Medtr6g004120.1
MtrunA17_Chr7g0268471	Medtr7g107440.1
MtrunA17_Chr4g0004001	Medtr4g011640.1
MtrunA17_Chr1g0158711	Medtr1g028220.1
MtrunA17_Chr7g0252391	Medtr7g084380.1
MtrunA17_Chr3g0120961	MT35v5_Medtr3g083070.1
MtrunA17_Chr8g0335581	Medtr8g007040.1
MtrunA17_Chr4g0030391	Medtr4g061700.1
MtrunA17_Chr5g0396621	Medtr5g009240.1
MtrunA17_Chr1g0161341	Medtr1g080720.1
MtrunA17_Chr1g0195441	Medtr1g088420.1
MtrunA17_Chr7g0247281	Medtr7g076910.1
MtrunA17_Chr4g0076381	Medtr4g133952.1
MtrunA17_Chr3g0086431	Medtr3g023930.1
MtrunA17_Chr1g0212821	Medtr1g115485.1
MtrunA17_Chr7g0241481	Medtr3g026088.1
MtrunA17_Chr1g0194561	Medtr1g086890.1
MtrunA17_Chr1g0175191	Medtr1g053955.1
MtrunA17_Chr7g0214171	Medtr7g005540.1
MtrunA17_Chr8g0341741	Medtr8g015960.1
MtrunA17_Chr5g0447881	Medtr5g097820.1
MtrunA17_Chr8g0356451	Medtr8g447330.1
MtrunA17_Chr4g0014421	Medtr4g032805.1
MtrunA17_Chr3g0139841	Medtr3g110075.1
MtrunA17_Chr8g0381871	Medtr8g090000.1
MtrunA17_Chr4g0012251	Medtr4g026755.1
MtrunA17_Chr2g0301761	Medtr2g044290.1
MtrunA17_Chr8g0338471	Medtr8g011370.1
MtrunA17_Chr5g0425391	Medtr5g062280.1
MtrunA17_Chr4g0059961	Medtr4g107500.1
MtrunA17_Chr4g0067821	Medtr4g120740.1
MtrunA17_Chr6g0479671	Medtr6g072480.1
MtrunA17_Chr4g0065741	Medtr4g117350.1
MtrunA17_Chr7g0256751	Medtr7g090530.1
MtrunA17_Chr2g0280981	Medtr2g011590.1
MtrunA17_Chr7g0256711	Medtr7g090470.1
MtrunA17_Chr2g0331991	Medtr2g102283.1
MtrunA17_Chr8g0374821	MT35v5_contig_59554_1.1
MtrunA17_Chr5g0416341	Medtr5g038910.1
MtrunA17_Chr1g0200841	Medtr1g096990.1
MtrunA17_Chr3g0085341	MT4Noble_056758.1
MtrunA17_Chr4g0021731	Medtr6g007460.1
MtrunA17_Chr4g0054321	Medtr4g097480.1
MtrunA17_Chr4g0059901	Medtr4g107450.1
MtrunA17_Chr5g0443051	Medtr5g091260.1
MtrunA17_Chr4g0059501	Medtr4g106480.1
MtrunA17_Chr1g0202991	MT4Noble_006312.1
MtrunA17_Chr8g0350851	Medtr8g032900.1
MtrunA17_Chr1g0157771	Medtr1g026920.1
MtrunA17_Chr6g0451951	Medtr6g008880.1
MtrunA17_Chr1g0195791	Medtr1g088795.1
MtrunA17_Chr5g0426961	Medtr5g065200.1
MtrunA17_Chr4g0004821	Medtr4g013205.1
MtrunA17_Chr5g0429721	Medtr5g070100.1
MtrunA17_Chr7g0237951	Medtr8g075755.1
MtrunA17_Chr3g0129031	Medtr3g094570.1
MtrunA17_Chr2g0284691	Medtr2g017740.1
MtrunA17_Chr4g0024421	Medtr4g047630.1
MtrunA17_Chr3g0078641	Medtr3g007750.1
MtrunA17_Chr4g0026851	Medtr4g054360.1
MtrunA17_Chr3g0139511	Medtr3g109935.1
MtrunA17_Chr1g0209481	Medtr1g110230.1
MtrunA17_Chr6g0474001	Medtr6g465420.1
MtrunA17_Chr2g0300981	Medtr2g042570.1
MtrunA17_Chr1g0152001	Medtr1g017130.1
MtrunA17_Chr4g0013181	Medtr4g029180.1
MtrunA17_Chr7g0243801	Medtr7g070800.1
MtrunA17_Chr8g0383641	Medtr8g092530.1
MtrunA17_Chr4g0058421	Medtr4g104830.1
MtrunA17_Chr8g0345501	MT35v5_Medtr8g023650.1
MtrunA17_Chr3g0134671	Medtr3g102910.1
MtrunA17_Chr1g0156431	MT4Noble_001140.1
MtrunA17_Chr1g0175521	Medtr1g054175.1
MtrunA17_Chr7g0255111	Medtr7g088290.1
MtrunA17_Chr3g0110501	Medtr3g065610.1
MtrunA17_Chr5g0428521	Medtr5g068190.1
MtrunA17_Chr4g0017161	Medtr4g051410.1
MtrunA17_Chr7g0271621	Medtr7g111890.1
MtrunA17_Chr3g0097971	Medtr3g453090.1
MtrunA17_Chr7g0263931	Medtr7g100990.1
MtrunA17_Chr1g0172401	MT4Noble_020413.1
