,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
Gene Symbol,Infection,Nodule Organogenesis ,Fixation,Reference,Protein class/Molecular function,Gene Name,Alternate names,Mutagen,Medicago Gene ID,Probeset,Lotus Gene ID,Soybean Gene ID,Phaseolus Gene ID,Myc Phenotype,Notes,Reference
GmACP,n/a,Nod+/-,n/a,"Wang et al., 2014",Carrier protein,ACYL CARRIER PROTEIN (ACP),,RNAi,Medtr7g080390,Mtr.48571.1.S1_at,Lj1g3v2840250,Glyma.18G244300,Phvul.008G052400,n/a,,"Wang, J., Tóth, K., Tanaka, K., Nguyen, C.T., Yan, Z., Brechenmacher, L., Dahmen, J., Chen, M., Thelen, J.J., and Qiu, L. (2014). A soybean acyl carrier protein, GmACP, is important for root nodule symbiosis. Molecular Plant-Microbe Interactions 27, 415-423."
"PvAGO5, GmAGO5",Inf-,"Nod+/-, White++",n/a,"Reyero-Saavedra et al., 2017",Multidomain protein (RNA silencing),ARGONAUTE 5 (AGO5),,RNAi,"Medtr4g056430, Medtr4g056470",Mtr.45521.1.S1_at,Lj0g3v0169039.1,Glyma.12G083500,Phvul.011G088200,n/a,,"Reyero-Saavedra, M., Qiao, Z., Sánchez-Correa, M., Díaz-Pineda, M., Reyes, J., Covarrubias, A., Libault, M., and Valdés-López, O. (2017). Gene silencing of ARGONAUTE5 negatively affects the establishment of the legume-rhizobia symbiosis. Genes 8, 352."
LjAMSH,"Inf+/-, Inf*",Nod+/-,Fix*,"Malolepszy et al., 2015",Enzyme (Metalloprotease; Deubiquitinating),ASSOCIATED MOLECULE WITH THE SH3 DOMAIN OF STAM (AMSH),,LORE1,Medtr6g083940,Mtr.21924.1.S1_at; Mtr.21925.1.S1_s_at,Lj2g3v0721190,Glyma.07G093100,Phvul.003G094300,Myc+,,"Małolepszy, A., Urbański, D.F., James, E.K., Sandal, N., Isono, E., Stougaard, J., and Andersen, S.U. (2015). The deubiquitinating enzyme AMSH 1 is required for rhizobial infection and nodule organogenesis in Lotus japonicus. The Plant Journal 83, 719-731."
LjAMT1.1,n/a,Nod++,Fix+/-,"Rogato et al., 2008",Transporter (Ammonium),AMMONIUM TRANSPORTER 1.1 (AMT1.1),,Antisense,Medtr1g045550,Mtr.10556.1.S1_at,"Lj5g3v1314550, Lj0g3v0302059",Glyma.10G132300,Phvul.007G231700,n/a,,"Rogato, A., D’Apuzzo, E., Barbulova, A., Omrane, S., Stedel, C., Simon-Rosin, U., Katinakis, P., Flemetakis, M., Udvardi, M., and Chiurazzi, M. (2008). Tissue-specific down-regulation of LjAMT1; 1 compromises nodule function and enhances nodulation in Lotus japonicus. Plant molecular biology 68, 585."
PvANN1,Inf+/-,Nod+/-,Fix+/-,"Carrasco-castilla et al., 2018",Membrane binding protein,ANNEXIN1 (ANN1),,RNAi,Medtr8g038210,Mtr.14183.1.S1_at,Lj0g3v0203419,Glyma.13G199800,Phvul.011G209300,n/a,,"Carrasco-Castilla, J., Ortega-Ortega, Y., Jáuregui-Zúñiga, D., Juárez-Verdayes, M.A., Arthikala, M.-K., Monroy-Morales, E., Nava, N., Santana, O., Sánchez-López, R., and Quinto, C. (2018). Down-regulation of a Phaseolus vulgaris annexin impairs rhizobial infection and nodulation. Environmental and Experimental Botany 153, 108-119."
LjAPN1,n/a,"Nod+, Nod*",Fix-,"Yamaya-Ito et al., 2018",Enzyme (Aspartyl protease),ASPARTIC PEPTIDASE NODULE-INDUCED 1 (APN1),Ljsym104,Somaclonal mutagenesis,Medtr0036s0070,Mtr.8869.1.S1_at,Lotus Chromosome 3 LC279017.1,Glyma.08G166200,Phvul.005G050500,n/a,,"Yamaya‐Ito, H., Shimoda, Y., Hakoyama, T., Sato, S., Kaneko, T., Hossain, M.S., Shibata, S., Kawaguchi, M., Hayashi, M., and Kouchi, H. (2018). Loss‐of‐function of ASPARTIC PEPTIDASE NODULE‐INDUCED 1 (APN 1) in Lotus japonicus restricts efficient nitrogen‐fixing symbiosis with specific Mesorhizobium loti strains. The Plant Journal 93, 5-16."
MtARF16a,Inf+/-,Nod+,n/a,"Breakspear et al., 2014",TF (Auxin responsive),AUXIN RESPONSE FACTOR 16a (ARF16a),,Tnt1,Medtr1g094960,Mtr.39233.1.S1_at,Lj5g3v1812820,Glyma.10G210600,Phvul.007G095000,n/a,,"Breakspear, A., Liu, C., Roy, S., Stacey, N., Rogers, C., Trick, M., Morieri, G., Mysore, K.S., Wen, J., and Oldroyd, G.E. (2014). The root hair “infectome” of Medicago truncatula uncovers changes in cell cycle genes and reveals a requirement for auxin signaling in rhizobial infection. The Plant Cell 26, 4680-4701."
GmARF8a/GmARF8b,n/a,Nod++,n/a,"Wang et al., 2015",TF (Auxin responsive),AUXIN RESPONSE FACTOR 16a (ARF8a/ARF8b),,RNAi,"Medtr5g076270, Medtr5g076270","Mtr.5139.1.S1_at, Mtr.5198.1.S1_at ",Lj2g3v2475530,"Glyma.14G208500, Glyma.02G239600",Phvul.008G242400,n/a,,"Wang, Y., Li, K., Chen, L., Zou, Y., Liu, H., Tian, Y., Li, D., Wang, R., Zhao, F., and Ferguson, B.J. (2015). MicroRNA167-directed regulation of the auxin response factors GmARF8a and GmARF8b is required for soybean nodulation and lateral root development. Plant physiology 168, 984-999."
MtARP3,n/a,n/a,Fix*,"Gavrin et al., 2015",TF (Auxin responsive),ACTIN RELATED PROTEIN (ARP2/ARP3),,RNAi,Medtr8g089630,Mtr.13778.1.S1_at,Lj4g3v2717070,Glyma.05G172600,Phvul.002G253600,n/a,,"Gavrin, A., Jansen, V., Ivanov, S., Bisseling, T., and Fedorova, E. (2015). ARP2/3-Mediated Actin Nucleation Associated With Symbiosome Membrane Is Essential for the Development of Symbiosomes in Infected Cells of Medicago truncatula Root Nodules. Mol Plant Microbe Interact 28, 605-614."
