Genotype,Rep,Nema,Rhizo,Rack,id,Block Shelf,Block Row,Block Side,Block Position,Block Col,Block HDate,Block NodPlucker,Biomass Weighing Date,Above ground biomass,agb old,old scale measurements,Galls,Nods,Counter,Scanner,Scan Date,Nods Removed,Below ground biomass,Notes/Comments
HM145,7,+,USDA1021,A+,id:7,Top,2,LEFT,FD,2,15-Apr,ADBM,7/2/24,0.1194,0.1194,0.1103,8,20,ADBM,ADBM,6/37/24,22,0.0508,
HM145,5,+,USDA1021,A+,id:5,Top,2,LEFT,FD,12,15-Apr,ADBM,7/2/24,0.2829,0.2829,0.2776,9,31,ADBM,ADBM,6/37/24,14,0.0576,
HM145,3,+,USDA1021,A+,id:3,Top,3,LEFT,FD,9,15-Apr,ADBM,7/2/24,0.179,0.179,0.1759,11,35,ADBM,ADBM,6/37/24,18,0.0541,
HM145,1,+,USDA1021,A+,id:1,Top,4,LEFT,FD,5,15-Apr,ADBM,7/2/24,0.0803,0.0803,0.0773,13,17,ADBM,ADBM,6/37/24,15,0.034,
HM145,2,+,USDA1021,A+,id:2,Top,5,LEFT,FD,6,15-Apr,ADBM,7/2/24,0.0975,0.0975,0.0963,11,10,ADBM,ADBM,6/37/24,13,0.0338,
HM145,4,+,USDA1021,A+,id:4,Top,6,LEFT,FD,10,15-Apr,ADBM,7/2/24,,,,,,,,,,,dead 
HM145,6,+,USDA1021,A+,id:6,Top,7,LEFT,FD,3,15-Apr,ADBM,7/2/24,0.0125,0.0125,0.0125,2,1,ADBM,ADBM,6/37/24,3,0.0023,
HM145,8,+,USDA1021,A+,id:8,Top,7,LEFT,FD,13,15-Apr,ADBM,7/2/24,0.285,0.285,0.2783,7,17,ADBM,ADBM,6/37/24,19,0.0612,
HM145,7,+,WSM1022,B+,id:26,Mid,2,LEFT,FD,2,16-Apr,ADBM,5/29/24,0.2832,0.2832,,2,18,ADBM,ADBM,6/28/24,27,0.047,
HM145,5,+,WSM1022,B+,id:24,Mid,2,LEFT,FD,12,16-Apr,ADBM,5/29/24,0.2018,0.2018,,5,28,ADBM,ADBM,6/28/24,14,0.0391,
HM145,3,+,WSM1022,B+,id:22,Mid,3,LEFT,FD,9,16-Apr,ADBM,5/29/24,,,,,,,,,,,dead
HM145,1,+,WSM1022,B+,id:20,Mid,4,LEFT,FD,5,16-Apr,ADBM,5/29/24,0.1326,0.1326,,6,22,ADBM,ADBM,6/27/24,30,0.0416,
HM145,2,+,WSM1022,B+,id:21,Mid,5,LEFT,FD,6,16-Apr,ADBM,5/29/24,0.1274,0.1274,,12,28,ADBM,ADBM,6/27/24,15,0.0538,
HM145,4,+,WSM1022,B+,id:23,Mid,6,LEFT,FD,10,16-Apr,ADBM,5/29/24,0.0501,0.0501,,2,3,ADBM,ADBM,6/27/24,15,0.0126,
HM145,6,+,WSM1022,B+,id:25,Mid,7,LEFT,FD,3,16-Apr,ADBM,5/29/24,0.281,0.281,,7,34,ADBM,ADBM,6/28/24,18,0.0675,
HM145,8,+,WSM1022,B+,id:27,Mid,7,LEFT,FD,13,16-Apr,ADBM,5/29/24,0.1935,0.1935,,4,10,ADBM,ADBM,6/28/24,24,0.0443,
HM145,7,-,USDA1021,A-,id:45,Mid,2,RIGHT,MB,2,17-Apr,ADBM,6/21/24,0.2665,0.2665,,,13,ADBM,ADBM,6/27/24,30,0.0646,
HM145,5,-,USDA1021,A-,id:43,Mid,2,RIGHT,MB,12,17-Apr,ADBM,6/21/24,0.0764,0.0764,,,12,ADBM,ADBM,6/28/24,15,0.0264,
HM145,3,-,USDA1021,A-,id:41,Mid,3,RIGHT,MB,9,17-Apr,ADBM,6/21/24,0.2151,0.2151,,,17,ADBM,ADBM,6/27/24,34,0.072,
HM145,1,-,USDA1021,A-,id:39,Mid,4,RIGHT,MB,5,17-Apr,ADBM,6/21/24,0.3194,0.3194,,,23,ADBM,ADBM,6/27/24,32,0.0724,
HM145,2,-,USDA1021,A-,id:40,Mid,5,RIGHT,MB,6,17-Apr,ADBM,6/21/24,0.0405,0.0405,,,9,ADBM,CZ,6/27/24,23,0.0161,
HM145,4,-,USDA1021,A-,id:42,Mid,6,RIGHT,MB,10,17-Apr,ADBM,6/21/24,0.2554,0.2554,,,13,ADBM,CZ,6/27/24,36,0.057,
HM145,6,-,USDA1021,A-,id:44,Mid,7,RIGHT,MB,3,17-Apr,ADBM,6/21/24,0.0794,0.0794,,,13,ADBM,CZ,6/27/24,32,0.0403,
HM145,8,-,USDA1021,A-,id:46,Mid,7,RIGHT,MB,13,17-Apr,ADBM,6/21/24,0.1627,0.1627,,,24,ADBM,ADBM,6/27/24,38,0.0531,
HM145,7,-,WSM1022,B-,id:64,Bot,2,RIGHT,MB,2,18-Apr,ADBM,6/21/24,0.0542,0.0542,,,25,ADBM,ADBM,6/27/24,28,0.0536,
HM145,5,-,WSM1022,B-,id:62,Bot,2,RIGHT,MB,12,18-Apr,ADBM,6/21/24,0.0876,0.0876,,,13,ADBM,CZ,,43,0.0699,
HM145,3,-,WSM1022,B-,id:60,Bot,3,RIGHT,MB,9,18-Apr,ADBM,6/21/24,0.2793,0.2793,,,13,ADBM,CZ,,36,0.0965,
HM145,1,-,WSM1022,B-,id:58,Bot,4,RIGHT,MB,5,18-Apr,ADBM,6/21/24,0.279,0.279,,,19,ADBM,CZ,,26,0.0812,
HM145,2,-,WSM1022,B-,id:59,Bot,5,RIGHT,MB,5,18-Apr,ADBM,6/21/24,,,,,,,,,,,dead
HM145,4,-,WSM1022,B-,id:61,Bot,6,RIGHT,MB,10,18-Apr,ADBM,6/21/24,0.0486,0.0486,,,8,ADBM,CZ,,31,0.0323,
HM145,6,-,WSM1022,B-,id:63,Bot,7,RIGHT,MB,3,18-Apr,ADBM,6/21/24,0.15,0.15,,,13,ADBM,CZ,,52,0.0774,
HM145,8,-,WSM1022,B-,id:65,Bot,7,RIGHT,MB,13,18-Apr,ADBM,6/21/24,0.1924,0.1924,,,8,ADBM,ADBM,6/27/24,36,0.0592,
HM145,9,+,USDA1021,Ex. 21 +,id:9,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,0.0076,0.0076,,1,1,ADBM,ADBM,6/28/24,0,0.001,very small 
HM145,10,+,USDA1021,Ex. 21 +,id:10,Mid,NA,RIGHT,MD,NA,11-Apr,MC,6/12/24,0.3427,0.3427,,6,41,ADBM,ADBM,6/28/24,0,0.0675,
HM145,11,+,USDA1021,Ex. 21 +,id:11,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,0.2234,0.2234,,8,42,ADBM,ADBM,6/28/24,0,0.0539,
HM145,12,+,USDA1021,Ex. 21 +,id:12,Mid,NA,RIGHT,MD,NA,11-Apr,MC,6/12/24,0.0324,0.0324,,7,14,ADBM,ADBM,6/28/24,0,0.0113,
HM145,13,+,USDA1021,Ex. 21 +,id:13,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,0.2413,0.2413,,10,35,ADBM,ADBM,6/28/24,0,0.059,
HM145,14,+,USDA1021,Ex. 21 +,id:14,Mid,NA,RIGHT,MD,NA,11-Apr,MC,6/12/24,0.0609,0.0609,,10,41,ADBM,ADBM,6/28/24,0,0.0493,
HM145,15,+,USDA1021,Ex. 21 +,id:15,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,0.0578,0.0578,,3,47,ADBM,ADBM,6/28/24,0,0.0341,
HM145,16,+,USDA1021,Ex. 21 +,id:16,Mid,NA,RIGHT,MD,NA,11-Apr,MC,6/12/24,0.2142,0.2142,,11,38,ADBM,ADBM,6/28/24,0,0.0297,
HM145,17,+,USDA1021,Ex. 21 +,id:17,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,0.1041,0.1041,,7,22,ADBM,ADBM,6/28/24,0,0.0333,
HM145,18,+,USDA1021,Ex. 21 +,id:18,Mid,NA,RIGHT,MD,NA,11-Apr,MC,6/12/24,0.2294,0.2294,,7,22,ADBM,ADBM,6/28/24,0,0.0548,
HM145,19,+,USDA1021,Ex. 21 +,id:19,Mid,NA,RIGHT,MD,NA,11-Apr,ADBM,6/12/24,,,,,,,,,0,,dead
HM145,9,+,WSM1022,Ex. 22 +,id:28,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.1735,0.1735,,12,44,ADBM,ADBM,6/28/24,0,0.048,
HM145,10,+,WSM1022,Ex. 22 +,id:29,Bot,NA,LEFT,MD,NA,11-Apr,ADBM,6/12/24,0.0364,0.0364,,0,6,ADBM,ADBM,6/28/24,0,0.0084,
HM145,11,+,WSM1022,Ex. 22 +,id:30,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.1057,0.1057,,6,35,ADBM,ADBM,6/28/24,0,0.0265,
HM145,12,+,WSM1022,Ex. 22 +,id:31,Bot,NA,LEFT,MD,NA,11-Apr,ADBM,6/12/24,0.2188,0.2188,,4,33,ADBM,ADBM,6/28/24,0,0.0463,
HM145,13,+,WSM1022,Ex. 22 +,id:32,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.3275,0.3275,,4,44,ADBM,ADBM,6/28/24,0,0.0654,
HM145,14,+,WSM1022,Ex. 22 +,id:33,Bot,NA,LEFT,MD,NA,11-Apr,ADBM,6/12/24,0.0485,0.0485,,1,23,ADBM,ADBM,6/28/24,0,0.0143,
HM145,15,+,WSM1022,Ex. 22 +,id:34,Bot,NA,LEFT,MD,NA,11-Apr,MC,6/12/24,0.179,0.179,,9,39,ADBM,ADBM,6/28/24,0,0.0571,
HM145,16,+,WSM1022,Ex. 22 +,id:35,Bot,NA,LEFT,MD,NA,11-Apr,ADBM,6/12/24,0.218,0.218,,0,34,ADBM,ADBM,6/28/24,0,0.0553,
